track_id,artist_1,artist_2,artist_3,track_name,popularity,datetime,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
4qePFOKrnFSap6UwPBU4RB,Tedi Aleksandrova,None,None,Tsyalo lyato,27,2018-07-24T14:52:34Z,0.74,0.858,10,-3.086,0,0.14,0.112,5.34e-06,0.06860000000000001,0.767,169.997,243529,4
79LWiqMSm54yBR1qoEHS3x,Dzhordan,None,None,Marmalad,32,2018-05-21T14:25:17Z,0.7000000000000001,0.8240000000000001,10,-4.3629999999999995,0,0.0781,0.021400000000000002,0.0,0.168,0.906,93.036,220102,4
7c7opZNV6qEKH2A11yBu1b,Malina,Galin,None,Grehove,21,2018-09-26T18:07:21Z,0.402,0.977,8,-2.469,0,0.056600000000000004,0.0475,0.0,0.269,0.884,180.045,234303,4
2rQS0Y05hZnmZUeHgJKme1,Vincenzo Bonizzi,Paolo Pandolfo,Amelie Chemin,Doulce memoire en plaisir consommée (After Sandrin),6,2018-05-09T13:05:39Z,0.252,0.138,9,-23.207,0,0.0443,0.881,0.906,0.111,0.09630000000000001,116.984,348507,3
63WnvmcToodkqpeamW1BR4,Emilia,None,None,Zavinagi,5,2018-07-05T15:31:55Z,0.486,0.513,8,-7.189,0,0.0502,0.23800000000000002,0.0,0.108,0.261,76.287,299211,4
2RMUFojLlB5u7uva5NexmA,ARTi,None,None,Kasash i hvarlyash,5,2018-02-05T15:30:34Z,0.744,0.6910000000000001,6,-7.017,1,0.10200000000000001,0.0606,0.0128,0.45,0.641,160.093,209240,4
4Qr3VSexfvWyjnTR7PUEWy,Yanitsa,None,None,Otmastitelkata,25,2018-07-06T13:00:01Z,0.782,0.902,6,-4.153,0,0.0396,0.0285,0.0,0.297,0.8270000000000001,97.992,206480,4
72zPaf2AbUhlukSDcdJL3S,Vanya,None,None,Iskam si teb,19,2018-02-26T15:23:15Z,0.721,0.9490000000000001,6,-2.609,0,0.09280000000000001,0.125,0.0,0.273,0.881,93.897,182553,4
1UBBwLfgHuJOBmOXuhkV7q,Emanuela,None,None,Pozhelavam ti,17,2018-09-17T13:00:13Z,0.421,0.713,9,-4.981,0,0.0699,0.268,0.0,0.0903,0.20500000000000002,150.01,200000,4
25COYvp6pmOHwVAWmttGBF,Emilia,None,None,Samo tebe iskam,32,2018-11-13T15:00:00Z,0.6890000000000001,0.8280000000000001,2,-5.92,0,0.09580000000000001,0.0287,0.0,0.607,0.8160000000000001,92.022,202174,4
6ExaW6S1Mhre5b7qinKI3R,Anelia,Damyan Popov,None,Kopakabana,26,2018-08-01T14:00:41Z,0.791,0.8270000000000001,8,-4.155,1,0.054700000000000006,0.0618,0.0,0.222,0.678,98.04,193776,4
7BvniAHAcmAtUDnfbE08j6,Yanitsa,None,None,Dvoyno Vlyuben,22,2018-03-22T15:55:09Z,0.662,0.773,7,-5.974,0,0.126,0.010700000000000001,6.4199999999999995e-06,0.091,0.704,92.965,193548,4
0w9mofDg9iiBjBQ5FsOSrQ,Roksana,None,None,"Alo, zvanya ti",23,2018-06-01T13:17:47Z,0.633,0.795,9,-4.636,0,0.037200000000000004,9.130000000000001e-05,1.23e-05,0.354,0.303,91.971,210000,4
5TXjCU8xt9otLBU6BEr9VT,Ani Hoang,Silver,None,Palim i letim,0,2018-06-11T14:00:08Z,0.787,0.8180000000000001,8,-4.606,1,0.10300000000000001,0.0381,0.0,0.108,0.8230000000000001,144.036,230833,4
4rayuBpacFaxeFIoo0e9HD,Anelia,Kyriacos Georgiou,None,Podludyavash me,21,2018-11-20T15:00:05Z,0.7000000000000001,0.926,10,-3.64,0,0.06470000000000001,0.123,0.0,0.152,0.58,95.012,216638,4
